Scenario,Interval,CostpAgent,QALYpAgent,ICER,IncrementalNMB,Ranking
S0,NA,$2151,12.546,NA,NA,NA
S1a,3 years,$2438,12.56,19632,444,1
S1a,5 years,$2356,12.556,19847,312,2
S1b,3 years,$2363,12.554,25894,198,6
S1b,5 years,$2296,12.552,23187,168,8
S1c,3 years,$2386,12.551,46956,15,16
S1c,5 years,$2313,12.55,38673,47,15
S2a,3 years,$2286,12.553,18908,223,4
S2a,5 years,$2246,12.551,17514,176,7
S3a,3 years,$2234,12.548,30366,54,14
S3a,5 years,$2207,12.548,22636,68,12
S3b,3 years,$2292,12.553,18438,241,3
S3b,5 years,$2250,12.552,16251,206,5
S3c,3 years,$2256,12.55,23972,114,9
S3c,5 years,$2224,12.549,20278,107,10
S3d,3 years,$2263,12.549,28245,86,11
S3d,5 years,$2227,12.548,27591,62,13
